"GEO_ID","NAME","B19051_001E","B19051_001M","B19051_002E","B19051_002M","B19051_003E","B19051_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With earnings","Margin of Error!!Total!!With earnings","Estimate!!Total!!No earnings","Margin of Error!!Total!!No earnings",
"310M200US30780","Little Rock-North Little Rock-Conway, AR Metro Area","282914","3966","216668","3982","66246","3352",
"310M200US30860","Logan, UT-ID Metro Area","40927","1131","34815","1241","6112","730",
"310M200US30940","London, KY Micro Area","48946","1676","30128","1928","18818","1883",
"310M200US30980","Longview, TX Metro Area","76401","1882","60378","1980","16023","1236",
"310M200US31020","Longview, WA Metro Area","40187","1126","28027","1252","12160","1113",
"310M200US31080","Los Angeles-Long Beach-Anaheim, CA Metro Area","4315637","9407","3555491","13810","760146","9124",
"310M200US31140","Louisville/Jefferson County, KY-IN Metro Area","496455","4360","385369","4983","111086","4131",
"310M200US31180","Lubbock, TX Metro Area","112853","2570","92015","2856","20838","1746",
"310M200US31260","Lufkin, TX Micro Area","30052","1498","21427","1634","8625","1172",
"310M200US31300","Lumberton, NC Micro Area","45373","867","28876","1238","16497","1095",
"310M200US31340","Lynchburg, VA Metro Area","100497","2442","76060","2727","24437","1864",
"310M200US31420","Macon, GA Metro Area","86400","2055","60976","2219","25424","1860",
"310M200US31460","Madera, CA Metro Area","45224","1307","33793","1767","11431","1452",
"310M200US31540","Madison, WI Metro Area","264340","2418","221844","3430","42496","2411",
"310M200US31700","Manchester-Nashua, NH Metro Area","156678","1842","128449","2622","28229","1978",
"310M200US31740","Manhattan, KS Metro Area","34806","1313","29702","1333","5104","819",
"310M200US31820","Manitowoc, WI Micro Area","34508","831","25538","991","8970","818",
"310M200US31860","Mankato-North Mankato, MN Metro Area","38444","870","32043","931","6401","733",
"310M200US31900","Mansfield, OH Metro Area","46989","1451","34572","1692","12417","1292",
"310M200US31940","Marinette, WI-MI Micro Area","28949","1138","19528","1091","9421","766",
"310M200US31980","Marion, IN Micro Area","25137","1413","17295","1616","7842","1000",
"310M200US32020","Marion, OH Micro Area","24364","1057","16929","1303","7435","908",
"310M200US32100","Marquette, MI Micro Area","25498","1053","17599","1005","7899","791",
"310M200US32220","Marshall, TX Micro Area","22227","1234","16400","1316","5827","923",
"310M200US32300","Martinsville, VA Micro Area","26719","1240","17484","1514","9235","1132",
"310M200US32420","Mayagüez, PR Metro Area","36870","1487","17267","1474","19603","1425",
"310M200US32580","McAllen-Edinburg-Mission, TX Metro Area","225692","3685","182165","4789","43527","2689",
"310M200US32740","Meadville, PA Micro Area","35781","1256","25884","1297","9897","782",
"310M200US32780","Medford, OR Metro Area","83876","1808","58334","2332","25542","1657",
"310M200US32820","Memphis, TN-MS-AR Metro Area","494270","4644","389986","5853","104284","4199",
"310M200US32900","Merced, CA Metro Area","79098","1205","60723","2074","18375","1772",
"310M200US32940","Meridian, MS Micro Area","40352","1678","27937","1734","12415","1346",
"310M200US33100","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","2077362","11245","1597001","11992","480361","8116",
"310M200US33140","Michigan City-La Porte, IN Metro Area","43169","1241","31818","1655","11351","1224",
"310M200US33220","Midland, MI Metro Area","32977","1076","24531","1214","8446","807",
"310M200US33260","Midland, TX Metro Area","57867","1326","50542","1704","7325","1159",
"310M200US33340","Milwaukee-Waukesha-West Allis, WI Metro Area","627842","3405","488333","4224","139509","3424",
