census_geo_id,census_geo_name
310M300US21780,"Evansville, IN-KY Metro Area"
310M300US21820,"Fairbanks, AK Metro Area"
310M300US22020,"Fargo, ND-MN Metro Area"
310M300US22140,"Farmington, NM Metro Area"
310M300US22180,"Fayetteville, NC Metro Area"
310M300US22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area"
310M300US22380,"Flagstaff, AZ Metro Area"
310M300US22420,"Flint, MI Metro Area"
310M300US22500,"Florence, SC Metro Area"
310M300US22520,"Florence-Muscle Shoals, AL Metro Area"
310M300US22540,"Fond du Lac, WI Metro Area"
310M300US22660,"Fort Collins, CO Metro Area"
310M300US22900,"Fort Smith, AR-OK Metro Area"
310M300US23060,"Fort Wayne, IN Metro Area"
310M300US23420,"Fresno, CA Metro Area"
310M300US23460,"Gadsden, AL Metro Area"
310M300US23540,"Gainesville, FL Metro Area"
310M300US23580,"Gainesville, GA Metro Area"
310M300US23900,"Gettysburg, PA Metro Area"
310M300US24020,"Glens Falls, NY Metro Area"
310M300US24140,"Goldsboro, NC Metro Area"
310M300US24220,"Grand Forks, ND-MN Metro Area"
310M300US24260,"Grand Island, NE Metro Area"
310M300US24300,"Grand Junction, CO Metro Area"
310M300US24340,"Grand Rapids-Wyoming, MI Metro Area"
310M300US24420,"Grants Pass, OR Metro Area"
310M300US24500,"Great Falls, MT Metro Area"
310M300US24540,"Greeley, CO Metro Area"
310M300US24580,"Green Bay, WI Metro Area"
